morpheme_id,glyph,type,frequency,confidence_score,botanical_reference,pharmaceutical_use,related_morphemes
unknown_0_139951151873936,<,unknown,0,0.0,,,
unknown_0_10803816,s,unknown,0,0.0,,,
unknown_0_10804104,y,unknown,0,0.0,,,
unknown_0_139951151893744,$,unknown,0,0.0,,,
unknown_0_139951151893648,$,unknown,0,0.0,,,
unknown_0_139951151893552,$,unknown,0,0.0,,,
unknown_3_10802184,Q,unknown,0,0.0,,,
unknown_0_139951151893456,$,unknown,0,0.0,,,
unknown_0_139951151893360,$,unknown,0,0.0,,,
unknown_0_10801320,?,unknown,0,0.0,,,
unknown_0_139951151893888,$,unknown,0,0.0,,,
unknown_0_139951151893168,$,unknown,0,0.0,,,
unknown_0_139951151893072,$,unknown,0,0.0,,,
unknown_0_139951151892976,$,unknown,0,0.0,,,
unknown_0_139951151892880,$,unknown,0,0.0,,,
unknown_3_10800840,5,unknown,0,0.0,,,
unknown_0_139951151892784,$,unknown,0,0.0,,,
unknown_0_10803096,d,unknown,0,0.0,,,
unknown_3_10801896,K,unknown,0,0.0,,,
unknown_0_10803624,o,unknown,0,0.0,,,
unknown_0_139951151869904,$,unknown,0,0.0,,,
unknown_0_139951151869232,$,unknown,0,0.0,,,
unknown_3_10801800,I,unknown,0,0.0,,,
unknown_0_139951151869664,$,unknown,0,0.0,,,
unknown_3_10801848,J,unknown,0,0.0,,,
unknown_0_139951151869568,$,unknown,0,0.0,,,
unknown_3_10801944,L,unknown,0,0.0,,,
unknown_0_139951151869424,$,unknown,0,0.0,,,
unknown_0_139951151869328,$,unknown,0,0.0,,,
unknown_3_10802088,O,unknown,0,0.0,,,
unknown_3_10802040,N,unknown,0,0.0,,,
unknown_0_139951151869136,$,unknown,0,0.0,,,
unknown_0_139951151869040,$,unknown,0,0.0,,,
unknown_3_10802616,Z,unknown,0,0.0,,,
unknown_0_139951151868944,$,unknown,0,0.0,,,
unknown_0_139951178704160,$,unknown,0,0.0,,,
unknown_0_139951216848128,$,unknown,0,0.0,,,
unknown_0_139951151894032,$,unknown,0,0.0,,,
unknown_0_139951151892640,o,unknown,0,0.0,,,
unknown_3_139951153357392,o,unknown,0,0.0,,,
unknown_4_139951183965968,d,unknown,0,0.0,,,
unknown_4_10803816,s,unknown,0,0.0,,,
unknown_0_139951151891152,o,unknown,0,0.0,,,
unknown_0_139951151891056,o,unknown,0,0.0,,,
unknown_4_10803096,d,unknown,0,0.0,,,
unknown_0_139951151890960,o,unknown,0,0.0,,,
unknown_0_139951151890864,o,unknown,0,0.0,,,
unknown_0_139951151890768,o,unknown,0,0.0,,,
unknown_0_139951151890672,o,unknown,0,0.0,,,
unknown_0_139951151890576,o,unknown,0,0.0,,,
unknown_5_10804104,y,unknown,0,0.0,,,
unknown_0_139951151890480,$,unknown,0,0.0,,,
unknown_3_10803144,e,unknown,0,0.0,,,
unknown_0_139951151894176,$,unknown,0,0.0,,,
unknown_3_10803960,v,unknown,0,0.0,,,
unknown_0_139951151894272,$,unknown,0,0.0,,,
unknown_3_10800888,6,unknown,0,0.0,,,
unknown_0_10799976,#,unknown,0,0.0,,,
unknown_0_139951151891248,o,unknown,0,0.0,,,
unknown_2_10804104,y,unknown,0,0.0,,,
unknown_0_139951151891344,o,unknown,0,0.0,,,
unknown_0_139951151891440,o,unknown,0,0.0,,,
unknown_0_139951151892544,$,unknown,0,0.0,,,
unknown_0_139951151892448,$,unknown,0,0.0,,,
unknown_0_10803768,r,unknown,0,0.0,,,
unknown_0_139951151892304,$,unknown,0,0.0,,,
unknown_0_139951151892208,o,unknown,0,0.0,,,
unknown_4_10804104,y,unknown,0,0.0,,,
unknown_0_139951151892112,$,unknown,0,0.0,,,
unknown_0_139951151892016,$,unknown,0,0.0,,,
unknown_0_139951151891920,$,unknown,0,0.0,,,
unknown_0_139951151891824,$,unknown,0,0.0,,,
unknown_0_139951151891728,$,unknown,0,0.0,,,
unknown_0_10803192,f,unknown,0,0.0,,,
unknown_0_10803480,l,unknown,0,0.0,,,
unknown_0_139951151891536,o,unknown,0,0.0,,,
unknown_3_10803480,l,unknown,0,0.0,,,
unknown_0_139951151869760,$,unknown,0,0.0,,,
unknown_0_139951151870000,$,unknown,0,0.0,,,
unknown_1_10799880,!,unknown,0,0.0,,,
unknown_3_10802952,a,unknown,0,0.0,,,
unknown_0_139951151873072,$,unknown,0,0.0,,,
unknown_1_139951151873984,F,unknown,0,0.0,,,
unknown_3_10804152,z,unknown,0,0.0,,,
unknown_0_139951151872976,$,unknown,0,0.0,,,
unknown_0_139951151872880,$,unknown,0,0.0,,,
unknown_3_139951183965968,2,unknown,0,0.0,,,
unknown_0_139951151872784,$,unknown,0,0.0,,,
unknown_0_139951151872688,$,unknown,0,0.0,,,
unknown_1_139951151873888,B,unknown,0,0.0,,,
unknown_3_10800744,3,unknown,0,0.0,,,
unknown_0_139951151872592,$,unknown,0,0.0,,,
unknown_3_10800792,4,unknown,0,0.0,,,
unknown_0_139951151872496,$,unknown,0,0.0,,,
unknown_3_10804104,y,unknown,0,0.0,,,
unknown_0_139951151872400,$,unknown,0,0.0,,,
unknown_3_10803000,b,unknown,0,0.0,,,
unknown_3_10800696,2,unknown,0,0.0,,,
unknown_0_139951151873168,$,unknown,0,0.0,,,
unknown_0_139951151870096,$,unknown,0,0.0,,,
unknown_3_10801416,A,unknown,0,0.0,,,
unknown_0_139951151873744,$,unknown,0,0.0,,,
unknown_1_139951153357392,I,unknown,0,0.0,,,
unknown_2_139951183965968,=,unknown,0,0.0,,,
unknown_3_10801752,H,unknown,0,0.0,,,
unknown_0_139951151873648,$,unknown,0,0.0,,,
unknown_1_139951183965968,L,unknown,0,0.0,,,
unknown_2_139951153357392,=,unknown,0,0.0,,,
unknown_0_139951151873552,$,unknown,0,0.0,,,
unknown_4_10801272,>,unknown,0,0.0,,,
unknown_3_10800648,1,unknown,0,0.0,,,
unknown_0_139951151873456,$,unknown,0,0.0,,,
unknown_0_139951151873360,$,unknown,0,0.0,,,
unknown_3_10801464,B,unknown,0,0.0,,,
unknown_0_139951151873264,$,unknown,0,0.0,,,
unknown_2_139951151873984,=,unknown,0,0.0,,,
unknown_3_139951151873888,1,unknown,0,0.0,,,
unknown_0_139951151872304,$,unknown,0,0.0,,,
unknown_3_10802280,S,unknown,0,0.0,,,
unknown_0_139951151872208,$,unknown,0,0.0,,,
unknown_0_139951151870672,$,unknown,0,0.0,,,
unknown_3_10801512,C,unknown,0,0.0,,,
unknown_0_139951151870960,$,unknown,0,0.0,,,
unknown_3_10801560,D,unknown,0,0.0,,,
unknown_0_139951151870864,$,unknown,0,0.0,,,
unknown_3_10801608,E,unknown,0,0.0,,,
unknown_0_139951151870768,$,unknown,0,0.0,,,
unknown_3_10801656,F,unknown,0,0.0,,,
unknown_3_10801704,G,unknown,0,0.0,,,
unknown_3_10802328,T,unknown,0,0.0,,,
unknown_0_139951151869808,$,unknown,0,0.0,,,
unknown_3_10802136,P,unknown,0,0.0,,,
unknown_0_139951151870528,$,unknown,0,0.0,,,
unknown_0_139951151870432,$,unknown,0,0.0,,,
unknown_0_139951151870336,$,unknown,0,0.0,,,
unknown_0_139951151869520,$,unknown,0,0.0,,,
unknown_0_139951151870192,$,unknown,0,0.0,,,
unknown_0_139951151871056,$,unknown,0,0.0,,,
unknown_3_10803096,d,unknown,0,0.0,,,
unknown_0_139951151871152,$,unknown,0,0.0,,,
unknown_0_139951151871248,$,unknown,0,0.0,,,
unknown_0_139951151872112,$,unknown,0,0.0,,,
unknown_3_10801992,M,unknown,0,0.0,,,
unknown_0_139951151872016,$,unknown,0,0.0,,,
unknown_2_139951151873888,=,unknown,0,0.0,,,
unknown_3_139951151873984,1,unknown,0,0.0,,,
unknown_0_139951151871920,$,unknown,0,0.0,,,
unknown_0_139951151871824,$,unknown,0,0.0,,,
unknown_0_139951151871728,$,unknown,0,0.0,,,
unknown_3_10803048,c,unknown,0,0.0,,,
unknown_0_139951151871632,$,unknown,0,0.0,,,
unknown_3_10804008,w,unknown,0,0.0,,,
unknown_0_139951151871536,$,unknown,0,0.0,,,
unknown_3_10804056,x,unknown,0,0.0,,,
unknown_0_139951151871440,$,unknown,0,0.0,,,
unknown_0_139951151871344,$,unknown,0,0.0,,,
unknown_0_139951151894416,$,unknown,0,0.0,,,
